AvgSpotLen	BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	disease	ecotype	isolation_source	sex	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	age	dev_stage	tissue
250	SAMN08465507	SRX3646922	L6399-1_BO15-082_S14	23597	10610	SRR6670155	SRS2911548	BO15-082	45	B_urban_2013	Site B:urban_2013	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465517	SRX3646921	L6411-1_BO15-094_S2	20462	9232	SRR6670156	SRS2911547	BO15-094	55	B_urban_2014	Site B:urban_2014	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465518	SRX3646920	L6413-1_BO15-096_S4	19431	9075	SRR6670157	SRS2911546	BO15-096	56	B_urban_2014	Site B:urban_2014	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465519	SRX3646919	L6417-1_BO15-100_S8	18339	8319	SRR6670158	SRS2911545	BO15-100	57	B_urban_2014	Site B:urban_2014	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465520	SRX3646918	L6416-1_BO15-099_S7	19479	9138	SRR6670159	SRS2911544	BO15-099	58	B_urban_2014	Site B:urban_2014	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465513	SRX3646917	L6404-1_BO15-087_S19	17986	7973	SRR6670160	SRS2911543	BO15-087	51	B_urban_2013	Site B:urban_2013	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465514	SRX3646916	L6406-1_BO15-089_S21	20045	8851	SRR6670161	SRS2911542	BO15-089	52	B_urban_2013	Site B:urban_2013	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465515	SRX3646915	L6407-1_BO15-090_S22	19251	8504	SRR6670162	SRS2911541	BO15-090	53	B_urban_2013	Site B:urban_2013	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465516	SRX3646914	L6415-1_BO15-098_S6	21938	10633	SRR6670163	SRS2911540	BO15-098	54	B_urban_2014	Site B:urban_2014	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465521	SRX3646913	L6412-1_BO15-095_S3	17441	7946	SRR6670164	SRS2911539	BO15-095	59	B_urban_2014	Site B:urban_2014	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
