study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	nominal_length	library_layout	read_count	base_count	fastq_ftp	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	sample_alias	sample_title
PRJEB7359	SAMEA2785549	ERS555239	ERX593941	ERR637496	46689	Ficedula hypoleuca	Illumina HiSeq 2000	450	PAIRED	98437506	21134920560	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637496/ERR637496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637496/ERR637496_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SV1_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SV1_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637496	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637496	SP_SV1	SP_SV1
PRJEB7359	SAMEA2785550	ERS555240	ERX593942	ERR637497	46689	Ficedula hypoleuca	Illumina HiSeq 2000	450	PAIRED	118470388	25089489360	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637497/ERR637497_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637497/ERR637497_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SV2_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SV2_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637497	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637497	SP_SV2	SP_SV2
PRJEB7359	SAMEA2785551	ERS555241	ERX593943	ERR637498	46689	Ficedula hypoleuca	Illumina HiSeq 2000	450	PAIRED	95355575	21723488100	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637498/ERR637498_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637498/ERR637498_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SV3_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SV3_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637498	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637498	SP_SV3	SP_SV3
PRJEB7359	SAMEA2785552	ERS555242	ERX593944	ERR637499	46689	Ficedula hypoleuca	Illumina HiSeq 2000	450	PAIRED	126376512	26771566300	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637499/ERR637499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637499/ERR637499_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SV4_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SV4_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637499	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637499	SP_SV4	SP_SV4
PRJEB7359	SAMEA2785553	ERS555243	ERX593945	ERR637500	46689	Ficedula hypoleuca	Illumina HiSeq 2000	450	PAIRED	126389104	28050319400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637500/ERR637500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637500/ERR637500_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SV5_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SV5_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637500	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637500	SP_SV5	SP_SV5
PRJEB7359	SAMEA2785554	ERS555244	ERX593946	ERR637501	46689	Ficedula hypoleuca	Illumina HiSeq 2000	450	PAIRED	84561523	16912304600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637501/ERR637501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637501/ERR637501_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SV6_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SV6_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637501	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637501	SP_SV6	SP_SV6
PRJEB7359	SAMEA2785555	ERS555245	ERX593947	ERR637502	46689	Ficedula hypoleuca	Illumina HiSeq 2000	450	PAIRED	114311525	22862305000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637502/ERR637502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637502/ERR637502_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SV7_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SV7_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637502	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637502	SP_SV7	SP_SV7
PRJEB7359	SAMEA2785556	ERS555246	ERX593948	ERR637503	46689	Ficedula hypoleuca	Illumina HiSeq 2000	450	PAIRED	81377426	16275485200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637503/ERR637503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637503/ERR637503_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SV8_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SV8_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637503	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637503	SP_SV8	SP_SV8
PRJEB7359	SAMEA2785557	ERS555247	ERX593949	ERR637504	46689	Ficedula hypoleuca	Illumina HiSeq 2000	450	PAIRED	73996690	14799338000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637504/ERR637504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637504/ERR637504_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SV9_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SV9_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637504	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637504	SP_SV9	SP_SV9
PRJEB7359	SAMEA2785558	ERS555248	ERX593950	ERR637505	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	79158469	15831693800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637505/ERR637505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637505/ERR637505_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_D5-2_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_D5-2_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637505	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637505	I_D5-2	I_D5-2
